Blink time,Looked left,looked right,Concentrated,total time,Distracted percentage,Concentrated percentage,Final Report
9,0,22,123,154,20.12987013,79.87012987,
30,0,21,6,57,89.47368421,10.52631579,
4,0,0,1,5,80,20,
5,0,26,75,106,29.24528302,70.75471698,
0,0,1,0,1,100,0,
31,0,30,12,73,83.56164384,16.43835616,
13,0,124,20,157,87.2611465,12.7388535,
3,0,26,6,35,82.85714286,17.14285714,
25,1,25,5,56,91.07142857,8.928571429,
2,0,30,12,44,72.72727273,27.27272727,
5,1,3,1,10,90,10,
3,0,12,11,26,57.69230769,42.30769231,
0,0,1,0,1,100,0,
26,0,31,64,121,47.10743802,52.89256198,
4,0,43,106,153,30.71895425,69.28104575,
1,0,8,7,16,56.25,43.75,
2,0,35,2,39,94.87179487,5.128205128,
1,0,6,3,10,70,30,
23,0,8,11,42,73.80952381,26.19047619,
7,0,36,0,43,100,0,
6,1,4,7,18,61.11111111,38.88888889,
11,0,19,4,34,88.23529412,11.76470588,
1,0,1,1,3,66.66666667,33.33333333,
37,0,107,2,146,98.63013699,1.369863014,
33,0,35,101,169,40.23668639,59.76331361,
7,0,47,22,76,71.05263158,28.94736842,
59,0,48,83,190,56.31578947,43.68421053,
30,0,20,18,68,73.52941176,26.47058824,
20,0,53,50,123,59.3495935,40.6504065,
14,0,56,7,77,90.90909091,9.090909091,
24,0,79,33,136,75.73529412,24.26470588,
6,0,3,1,10,90,10,
12,0,80,15,107,85.98130841,14.01869159,
17,0,41,74,132,43.93939394,56.06060606,
0,0,60,68,128,46.875,53.125,
17,2,185,88,292,69.8630137,30.1369863,
7,0,93,20,120,83.33333333,16.66666667,
7,0,116,110,233,52.78969957,47.21030043,
13,0,2,20,35,42.85714286,57.14285714,
0,0,36,120,156,23.07692308,76.92307692,
0,0,192,38,230,83.47826087,16.52173913,
40,0,18,148,206,28.15533981,71.84466019,
36,0,205,0,241,100,0,
64,0,80,88,232,62.06896552,37.93103448,
67,0,7,209,283,26.14840989,73.85159011,
56,0,14,142,212,33.01886792,66.98113208,
0,0,12,21,33,36.36363636,63.63636364,
22,0,58,253,333,24.02402402,75.97597598,
18,0,3,22,43,48.8372093,51.1627907,
15,0,8,27,50,46,54,
10,0,308,6,324,98.14814815,1.851851852,
11,0,20,27,58,53.44827586,46.55172414,
17,0,15,5,37,86.48648649,13.51351351,
7,0,48,24,79,69.62025316,30.37974684,
32,0,28,6,66,90.90909091,9.090909091,
6,0,89,17,112,84.82142857,15.17857143,
12,0,47,9,68,86.76470588,13.23529412,
3,0,173,15,191,92.14659686,7.853403141,
2,0,27,0,29,100,0,
7,0,71,42,120,65,35,
10,0,43,125,178,29.7752809,70.2247191,
68,0,80,31,179,82.68156425,17.31843575,
11,0,195,53,259,79.53667954,20.46332046,
55,0,152,8,215,96.27906977,3.720930233,
4,0,104,83,191,56.54450262,43.45549738,
16,0,122,119,257,53.69649805,46.30350195,
63,1,136,28,228,87.71929825,12.28070175,
14,0,271,51,336,84.82142857,15.17857143,
1,0,179,4,184,97.82608696,2.173913043,
92,0,101,38,231,83.54978355,16.45021645,
41,0,106,60,207,71.01449275,28.98550725,
36,0,197,4,237,98.31223629,1.687763713,
32,0,103,26,161,83.85093168,16.14906832,
43,0,243,36,322,88.81987578,11.18012422,
28,0,125,19,172,88.95348837,11.04651163,
22,0,87,0,109,100,0,
89,0,114,25,228,89.03508772,10.96491228,
2,86,10,32,130,75.38461538,24.61538462,
16,0,87,31,134,76.86567164,23.13432836,
4,14,0,40,58,31.03448276,68.96551724,
12,3,67,63,145,56.55172414,43.44827586,
71,0,136,17,224,92.41071429,7.589285714,
56,0,147,8,211,96.20853081,3.791469194,
80,0,106,37,223,83.40807175,16.59192825,
17,0,178,16,211,92.41706161,7.582938389,
93,0,157,60,310,80.64516129,19.35483871,
1,0,238,58,297,80.47138047,19.52861953,
10,1,189,40,240,83.33333333,16.66666667,
96,0,155,72,323,77.70897833,22.29102167,
50,0,266,14,330,95.75757576,4.242424242,
30,2,71,194,297,34.68013468,65.31986532,
28,0,100,7,135,94.81481481,5.185185185,
71,1,76,20,168,88.0952381,11.9047619,
12,0,52,45,109,58.71559633,41.28440367,
6,0,182,41,229,82.09606987,17.90393013,
44,0,154,70,268,73.88059701,26.11940299,
17,0,236,24,277,91.33574007,8.664259928,
11,0,218,15,244,93.85245902,6.147540984,
11,2,145,79,237,66.66666667,33.33333333,
57,2,56,102,217,52.99539171,47.00460829,
12,0,220,3,235,98.72340426,1.276595745,
84,0,77,67,228,70.61403509,29.38596491,
8,0,184,35,227,84.5814978,15.4185022,
17,0,241,24,282,91.4893617,8.510638298,
5,0,268,44,317,86.11987382,13.88012618,
5,0,172,24,201,88.05970149,11.94029851,
37,0,260,9,306,97.05882353,2.941176471,
9,0,38,1,48,97.91666667,2.083333333,
11,0,203,73,287,74.56445993,25.43554007,
16,0,280,20,316,93.67088608,6.329113924,
26,0,77,77,180,57.22222222,42.77777778,
37,0,166,34,237,85.65400844,14.34599156,
27,0,98,112,237,52.74261603,47.25738397,
31,0,235,37,303,87.78877888,12.21122112,
26,0,96,12,134,91.04477612,8.955223881,
88,0,201,34,323,89.47368421,10.52631579,
95,0,65,15,175,91.42857143,8.571428571,
22,0,159,51,232,78.01724138,21.98275862,
61,0,253,1,315,99.68253968,0.317460317,
37,0,215,25,277,90.97472924,9.025270758,
6,0,259,54,319,83.07210031,16.92789969,
13,0,160,64,237,72.99578059,27.00421941,
97,0,111,107,315,66.03174603,33.96825397,
48,0,220,46,314,85.35031847,14.64968153,
44,0,191,46,281,83.62989324,16.37010676,
44,0,94,51,189,73.01587302,26.98412698,
147,1,115,47,310,84.83870968,15.16129032,
31,0,276,6,313,98.08306709,1.916932907,
49,0,184,22,255,91.37254902,8.62745098,
32,0,243,2,277,99.27797834,0.722021661,
18,0,117,120,255,52.94117647,47.05882353,
69,0,117,100,286,65.03496503,34.96503497,
51,0,168,102,321,68.22429907,31.77570093,
